,index,tmean0,tmean1,tmean2,tmean3,tmax0,tmax1,tmax2,tmax3,tmin0,tmin1,tmin2,tdi0,tdi1,tdi2,tdi3,tdi4,tdi5,mean_rainfall0,rh0,rh1,rh2,rh3,rh4,rh5,nino0,nino1,nino2,nino3,nino4,nino5,act0,bre0,dengue,month,eip,year,population,dengue_per
0,2006-06-30,25.408499876658123,26.3662902462867,27.19883337020874,26.32209667082756,29.36433350245158,30.658870973894672,31.96633332570394,31.427096736046572,21.45266669591268,22.073548347719253,22.431833267211918,7.9116668065389,8.585322626175419,9.534500058492023,10.21161288599814,11.842857207570756,10.349677285840434,463.6305277138948,88.53928,86.995255,82.13324,74.83933,61.47582,69.7459,27.73,27.85,27.5,26.57,26.08,25.63,7,17,70.0,6,11.988254426020431,2006,33452536,0.20925169918358358
1,2006-07-31,24.717258114968576,25.408499876658123,26.3662902462867,27.19883337020874,28.22693557123984,29.36433350245158,30.658870973894672,31.96633332570394,21.205806609122984,21.45266669591268,22.073548347719253,7.021128962116856,7.9116668065389,8.585322626175419,9.534500058492023,10.21161288599814,11.842857207570756,563.6014012333751,88.61781,88.53928,86.995255,82.13324,74.83933,61.47582,27.3,27.73,27.85,27.5,26.57,26.08,12,16,133.0,7,11.181121827217677,2006,33452536,0.3975782284488088
2,2006-08-31,24.735806372857866,24.717258114968576,25.408499876658123,26.3662902462867,28.502580642700195,28.22693557123984,29.36433350245158,30.658870973894672,20.96951604658557,21.205806609122984,21.45266669591268,7.53306459611462,7.021128962116856,7.9116668065389,8.585322626175419,9.534500058492023,10.21161288599814,355.9622868362069,88.93809,88.61781,88.53928,86.995255,82.13324,74.83933,27.16,27.3,27.73,27.85,27.5,26.57,14,8,145.0,8,11.946208926159807,2006,33452536,0.4334499483088517
3,2006-09-30,24.6366668065389,24.735806372857866,24.717258114968576,25.408499876658123,28.307999992370604,28.502580642700195,28.22693557123984,29.36433350245158,20.965333398183187,20.96951604658557,21.205806609122984,7.342666594187419,7.53306459611462,7.021128962116856,7.9116668065389,8.585322626175419,9.534500058492023,394.3894859530032,88.85565,88.93809,88.61781,88.53928,86.995255,82.13324,27.32,27.16,27.3,27.73,27.85,27.5,14,6,105.0,9,12.89137286849821,2006,33452536,0.3138775487753753
4,2006-10-31,24.80774187272595,24.6366668065389,24.735806372857866,24.717258114968576,28.74967744273524,28.307999992370604,28.502580642700195,28.22693557123984,20.86596762749457,20.965333398183187,20.96951604658557,7.8837098152406755,7.342666594187419,7.53306459611462,7.021128962116856,7.9116668065389,8.585322626175419,338.08322495758534,88.95127,88.85565,88.93809,88.61781,88.53928,86.995255,27.41,27.32,27.16,27.3,27.73,27.85,0,0,116.0,10,13.619628684232678,2006,33452536,0.34675995864708137
5,2006-11-30,24.35933335622152,24.80774187272595,24.6366668065389,24.735806372857866,28.291500027974447,28.74967744273524,28.307999992370604,28.502580642700195,20.42600008646647,20.86596762749457,20.965333398183187,7.865499941507975,7.8837098152406755,7.342666594187419,7.53306459611462,7.021128962116856,7.9116668065389,223.4727557235956,87.00772,88.95127,88.85565,88.93809,88.61781,88.53928,27.69,27.41,27.32,27.16,27.3,27.73,0,0,83.0,11,13.59956016363118,2006,33452536,0.24811272903196338
6,2006-12-31,24.11903224452849,24.35933335622152,24.80774187272595,24.6366668065389,29.34322581752654,28.291500027974447,28.74967744273524,28.307999992370604,18.89451620655675,20.42600008646647,20.86596762749457,10.44870961096979,7.865499941507975,7.8837098152406755,7.342666594187419,7.53306459611462,7.021128962116856,4.007176026850939,69.693565,87.00772,88.95127,88.85565,88.93809,88.61781,27.74,27.69,27.41,27.32,27.16,27.3,0,0,63.0,12,13.707169907304696,2006,33452536,0.18832652926522522
7,2007-01-31,24.2814516252087,24.11903224452849,24.35933335622152,24.80774187272595,29.916612840467884,29.34322581752654,28.291500027974447,28.74967744273524,18.645161213413363,18.89451620655675,20.42600008646647,11.271451627054525,10.44870961096979,7.865499941507975,7.8837098152406755,7.342666594187419,7.53306459611462,0.4121459001302718,64.949905,69.693565,87.00772,88.95127,88.85565,88.93809,27.24,27.74,27.69,27.41,27.32,27.16,0,0,44.0,1,13.522007983412209,2007,33753016,0.13035872112880223
8,2007-02-28,24.86589288711548,24.2814516252087,24.11903224452849,24.35933335622152,30.558214323861257,29.916612840467884,29.34322581752654,28.291500027974447,19.174107210976736,18.645161213413363,18.89451620655675,11.38410711288452,11.271451627054525,10.44870961096979,7.865499941507975,7.8837098152406755,7.342666594187419,4.693405661135912,66.08658,64.949905,69.693565,87.00772,88.95127,88.85565,26.88,27.24,27.74,27.69,27.41,27.32,0,0,23.0,2,14.012741966209907,2007,33753016,0.0681420587718739
9,2007-03-31,26.94516117342057,24.86589288711548,24.2814516252087,24.11903224452849,32.54258078913535,30.558214323861257,29.916612840467884,29.34322581752654,21.34612907901887,19.174107210976736,18.645161213413363,11.19645171011648,11.38410711288452,11.271451627054525,10.44870961096979,7.865499941507975,7.8837098152406755,8.803542360365391,70.72278,66.08658,64.949905,69.693565,87.00772,88.95127,27.1,26.88,27.24,27.74,27.69,27.41,0,0,10.0,3,14.283013934947935,2007,33753016,0.02962698207472778
